timestamp,email,client_name,license_key,download_link
2025-10-14T23:01:06.864062+00:00,jk,ji,FCC-24A7-1534-2BFF-F9C8,https://jqfoqqnefabtqcjmceyu.supabase.co/storage/v1/object/sign/fcc-installers/FCC.zip?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9iYzQ0MzBkOC05MTAyLTQ5ZjUtYmQwOS04Zjk0ZmFkNmY3MjMiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJmY2MtaW5zdGFsbGVycy9GQ0MuemlwIiwiaWF0IjoxNzYwNDgyODY3LCJleHAiOjE3NjA1NjkyNjd9.tRA2HDleJrWGyRsomXUtztS0nCrKaUGYgzO6ijMdQkI
2025-10-14T23:02:55.489568+00:00,hj,hi,FCC-565E-7E90-3648-07B1,https://jqfoqqnefabtqcjmceyu.supabase.co/storage/v1/object/sign/fcc-installers/FCC.zip?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9iYzQ0MzBkOC05MTAyLTQ5ZjUtYmQwOS04Zjk0ZmFkNmY3MjMiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJmY2MtaW5zdGFsbGVycy9GQ0MuemlwIiwiaWF0IjoxNzYwNDgyOTc2LCJleHAiOjE3NjA1NjkzNzZ9.W6afcp6v-4ArGg3lX-yvGJnk7mTAutGxmzr8YWzwX1g
2025-10-14T23:07:05.149412+00:00,ji,hh,FCC-1E36-4672-1692-9824,https://jqfoqqnefabtqcjmceyu.supabase.co/storage/v1/object/sign/fcc-installers/FCC.zip?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9iYzQ0MzBkOC05MTAyLTQ5ZjUtYmQwOS04Zjk0ZmFkNmY3MjMiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJmY2MtaW5zdGFsbGVycy9GQ0MuemlwIiwiaWF0IjoxNzYwNDgzMjI2LCJleHAiOjE3NjA1Njk2MjZ9.i89_PN1-OkMG0EjLunwaBkI3bYafAVhkz7DdsSI2bt8
2025-10-14T23:08:52.706051+00:00,jj,hh,FCC-BB40-0F2B-1754-F03E,https://jqfoqqnefabtqcjmceyu.supabase.co/storage/v1/object/sign/fcc-installers/FCC.zip?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9iYzQ0MzBkOC05MTAyLTQ5ZjUtYmQwOS04Zjk0ZmFkNmY3MjMiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJmY2MtaW5zdGFsbGVycy9GQ0MuemlwIiwiaWF0IjoxNzYwNDgzMzMzLCJleHAiOjE3NjA1Njk3MzN9.TKc6nb-knCON5dijZHDIvx0RQR7IKwr-7M-ixoH6LRQ
2025-10-14T23:33:36.077543+00:00,hi,hi,FCC-1C5D-6666-1919-7E3C,https://jqfoqqnefabtqcjmceyu.supabase.co/storage/v1/object/sign/fcc-installers/FCC.zip?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9iYzQ0MzBkOC05MTAyLTQ5ZjUtYmQwOS04Zjk0ZmFkNmY3MjMiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJmY2MtaW5zdGFsbGVycy9GQ0MuemlwIiwiaWF0IjoxNzYwNDg0ODE3LCJleHAiOjE3NjA1NzEyMTd9.spvmhjOKYVzuM2CXwrmVgla2Ecvbn9uYpfdRBnNKlo8
2025-10-14T23:42:49.241495+00:00,fe,hy,FCC-BF39-4B4A-9E3B-5A4F,https://jqfoqqnefabtqcjmceyu.supabase.co/storage/v1/object/sign/fcc-installers/FCC.zip?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9iYzQ0MzBkOC05MTAyLTQ5ZjUtYmQwOS04Zjk0ZmFkNmY3MjMiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJmY2MtaW5zdGFsbGVycy9GQ0MuemlwIiwiaWF0IjoxNzYwNDg1MzcwLCJleHAiOjE3NjA1NzE3NzB9.v6FvgxHlO-UdOA_el_wdN5ZIoyNZNpYw_J24EVhC54Y
2025-10-14T23:45:01.235351+00:00,de,hy,FCC-782A-5BB9-23CA-5160,https://jqfoqqnefabtqcjmceyu.supabase.co/storage/v1/object/sign/fcc-installers/FCC.zip?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9iYzQ0MzBkOC05MTAyLTQ5ZjUtYmQwOS04Zjk0ZmFkNmY3MjMiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJmY2MtaW5zdGFsbGVycy9GQ0MuemlwIiwiaWF0IjoxNzYwNDg1NTAyLCJleHAiOjE3NjA1NzE5MDJ9.G3Pnt0wDHCoGH8VfMzffTEnnRysXehkCbTSpOl4Y30g
2025-10-14T23:49:05.368997+00:00,fw,dew,FCC-C069-5A93-CF1E-6B0E,https://jqfoqqnefabtqcjmceyu.supabase.co/storage/v1/object/sign/fcc-installers/FCC.zip?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9iYzQ0MzBkOC05MTAyLTQ5ZjUtYmQwOS04Zjk0ZmFkNmY3MjMiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJmY2MtaW5zdGFsbGVycy9GQ0MuemlwIiwiaWF0IjoxNzYwNDg1NzQ2LCJleHAiOjE3NjA1NzIxNDZ9.mGsVG2mmnVzY7ZKwab6L1n4atSHl7-yhiKQ1CZ7TbvU
2025-10-15T00:15:57.127474+00:00,demo@example.com,Demo Client,FCC-78C6-DB1B-E742-68FD,https://example.com/download
2025-10-15T09:41:41.608778+00:00,user@example.com,Test User,FCC-6DC9-B14F-F966-61E6,
